Name,Gross Export,Code,Sector,Share
Transport,2023019520.0,transport,Services,3.0451481782905288%
Travel & tourism,1126849280.0,travel,Services,1.6961887902099897%
Insurance & finance,913383168.0,financial,Services,1.374869131325254%
Business,800747456.0,ict,Services,1.2053243346407134%
"Petroleum oils, crude",44871343277.0,2709,Minerals,67.54254612303767%
Petroleum gases,6869301091.0,2711,Minerals,10.340008831643795%
"Petroleum oils, refined",864847792.0,2710,Minerals,1.30181130348529%
Electrical energy,118110862.0,2716,Minerals,0.17778626093317382%
"Slag, ash and residues containing metals",69184136.0,2620,Minerals,0.10413935388374512%
Cements,55055723.0,2523,Minerals,0.08287257386321115%
Tin ore,53433267.0,2609,Minerals,0.08043037353646565%
Lead ore,30609811.0,2607,Minerals,0.04607538843938955%
Zirconium ore,21292794.0,2615,Minerals,0.03205095760015973%
Zinc ore,18120150.0,2608,Minerals,0.02727533828385953%
Uranium ore,14232585.0,2612,Minerals,0.021423584822906256%
Coal,10932171.0,2701,Minerals,0.016455639837528877%
Other ores,7823522.0,2617,Minerals,0.011776348933160997%
Mineral substances n.e.c.,4231447.0,2530,Minerals,0.00636938150927131%
Manganese > 47% by weight,4051371.0,2602,Minerals,0.006098322284220509%
Feldspar,1834621.0,2529,Minerals,0.0027615614880490864%
Iron ores and concentrates,1453804.0,2601,Minerals,0.0021883370666593883%
Oils etc. from high temperature coal tar,1384755.0,2707,Minerals,0.002084401126109105%
Titanium ore,1096995.0,2614,Minerals,0.0016512506640785247%
Mica,1055669.0,2525,Minerals,0.0015890447424984728%
Tungsten ore,1052634.0,2611,Minerals,0.0015844763116802116%
Chromium ore,945187.0,2610,Minerals,0.001422741818721497%
Precious metal ores,716769.0,2616,Minerals,0.0010789158448679347%
Copper ore,652173.0,2603,Minerals,0.000981682778266158%
Petroleum coke,293204.0,2713,Minerals,0.0004413450377718037%
Quartz,272842.0,2506,Minerals,0.00041069515694101876%
Marble,254634.0,2515,Minerals,0.0003832875825295203%
Natural sands,207010.0,2505,Minerals,0.00031160160253318876%
Granite,137911.0,2516,Minerals,0.00020759039953120427%
Salt,43406.0,2501,Minerals,0.0000653368395708207%
Petroleum jelly,34135.0,2712,Minerals,0.000051381675776389533%
Kaolin,28588.0,2507,Minerals,0.000043032059384661614%
Clays,23156.0,2508,Minerals,0.00003485554663184638%
"Tar distilled from coal, lignite etc.",18511.0,2706,Minerals,0.00002786366486880758%
Gypsum,17946.0,2520,Minerals,0.000027013199164584348%
"Bitumen and asphalt, natural",13546.0,2714,Minerals,0.000020390103414881286%
Limstone,10463.0,2521,Minerals,0.000015749420642987074%
"Sulphur, crude",8135.0,2503,Minerals,0.000012245200891780545%
Dolomite,8071.0,2518,Minerals,0.000012148864953603046%
Natural calcium phosphates,5554.0,2510,Minerals,0.00000836015313496609%
Chalk,5445.0,2509,Minerals,0.000008196080990257538%
Pitch and pitch coke,4024.0,2708,Minerals,0.000006057122112910254%
Peat,3219.0,2703,Minerals,0.000004845396640521399%
Bituminous mixtures,2699.0,2715,Minerals,0.000004062667142829219%
Quicklime,2640.0,2522,Minerals,0.0000039738574498218366%
Siliceous fossil meals and earths,2420.0,2512,Minerals,0.0000036427026623366837%
Gravel,1585.0,2517,Minerals,0.0000023858197189271253%
Trade data discrepancies,2702992155.0,XXXX,Other,4.06867633028664%
Commodities not specified according to kind,167083875.0,9999,Other,0.2515028414446403%
Nitrogenous fertilizers,1699291175.0,3102,Chemicals,2.5578563996932773%
Natural rubber,64256856.0,4001,Chemicals,0.0967225704233822%
"Other plates of plastics, noncellular and not reinforced",22631956.0,3920,Chemicals,0.03406672990706061%
Rare-earth metals,16470848.0,2805,Chemicals,0.02479272804154663%
"Insecticides, rodenticides, fungicides, etc.",16258402.0,3808,Chemicals,0.02447294390526449%
Polymers of ethylene,14937998.0,3901,Chemicals,0.022485407059743823%
Plastic waste,11035247.0,3915,Chemicals,0.016610794886959875%
Polyacetals,8361219.0,3907,Chemicals,0.01258571682300829%
Soap,6707082.0,3401,Chemicals,0.010095828701615888%
Packing lids,5803514.0,3923,Chemicals,0.00873573384244141%
Activated carbon,3724376.0,3802,Chemicals,0.005606113376340019%
Potassic fertilizers,3619441.0,3104,Chemicals,0.005448160068954772%
Make-up preparations,3619112.0,3304,Chemicals,0.005447664842022578%
Polymers of propylene,3280739.0,3902,Chemicals,0.00493832921063297%
Industrial monocarboxylic fatty acids,2814142.0,3823,Chemicals,0.0042359845271047435%
Dental hygiene products,2664122.0,3306,Chemicals,0.00401016706702055%
Zinc oxide or peroxide,2583487.0,2817,Chemicals,0.003888791311162071%
Hair products,2468224.0,3305,Chemicals,0.0037152917917534292%
Other articles of plastic,2237305.0,3926,Chemicals,0.003367701190065774%
Other inorganic acids,1996136.0,2811,Chemicals,0.0030046817857793794%
Cleaning products,1978961.0,3402,Chemicals,0.002978829133620027%
Mixed fertilizers,1948738.0,3105,Chemicals,0.0029333359920647372%
Perfumes,1686929.0,3303,Chemicals,0.0025392482477160985%
"Other plastic plates, sheets etc.",1462377.0,3921,Chemicals,0.0022012415666280713%
Quaternary ammonium salts and hydroxides,1258272.0,2923,Chemicals,0.0018940127125387203%
"Metal base oxides, n.e.c.",1190759.0,2825,Chemicals,0.001792388834504697%
Glues and adhesives,1030569.0,3506,Chemicals,0.0015512629917444848%
Prepared pigments,883304.0,3207,Chemicals,0.0013295924927490255%
"Medicaments, not packaged",787480.0,3003,Chemicals,0.001185353509312765%
Detonators,761512.0,3603,Chemicals,0.0011462652023972448%
Anti-knock,679974.0,3811,Chemicals,0.001023530206661043%
Polymers of styrene,665866.0,3903,Chemicals,0.0010022941532890405%
Synthetic rubber,664458.0,4002,Chemicals,0.0010001747626491356%
Refractory cements,619918.0,3816,Chemicals,0.0009331309706737323%
Flourides,609743.0,2826,Chemicals,0.0009178150617525439%
"Prepared explosives, except gunpowder",589590.0,3602,Chemicals,0.0008874797779698699%
Plastic tubes and fittings,578850.0,3917,Chemicals,0.0008713134033444584%
Plastic household articles,545162.0,3924,Chemicals,0.0008206045738862773%
Natural polymers,533710.0,3913,Chemicals,0.000803366461948641%
Catalytic preparations,387860.0,3815,Chemicals,0.0005838258903363248%
Sodium hydroxide,360342.0,2815,Chemicals,0.0005424044474180682%
Self-adhesive plastic sheets,331714.0,3919,Chemicals,0.0004993121780720457%
"Medicaments, packaged",319628.0,3004,Chemicals,0.0004811197382468386%
Polymers of vinyl chloride,314738.0,3904,Chemicals,0.00047375907047046413%
Carboxyamide-function compounds,310363.0,2924,Chemicals,0.00046717360594661166%
Toiletries,284754.0,3307,Chemicals,0.00042862568343430575%
Sulfates,264116.0,2833,Chemicals,0.0003975603538701304%
"Paints and varnishes, nonaqueous",235102.0,3208,Chemicals,0.0003538870583969748%
Acyclic alcohols,225210.0,2905,Chemicals,0.0003389971349524151%
Other coloring matter,203257.0,3206,Chemicals,0.00030595240290849884%
Carbon,200870.0,2803,Chemicals,0.000302359373464285%
Synthetic organic coloring matter,192609.0,3204,Chemicals,0.0002899245111942175%
Lead oxides,184457.0,2824,Chemicals,0.00027765372106885853%
Diagnostic or laboratory reagents,182805.0,3822,Chemicals,0.00027516704966465183%
New pneumatic tires of rubber,149356.0,4011,Chemicals,0.00022481797472560235%
Mixtures of odoriferous subtances,143022.0,3302,Chemicals,0.00021528372734409801%
Other articles of vulcanized rubber,139857.0,4016,Chemicals,0.00021051961415141386%
Vitamins,130522.0,2936,Chemicals,0.0001964681144188052%
Ink,101820.0,3215,Chemicals,0.00015326445664426492%
Organo-sulfur compounds,100327.0,2930,Chemicals,0.00015101711983646796%
Carbonates,90394.0,2836,Chemicals,0.0001360654811815133%
Iron oxides and hydroxides,85645.0,2821,Chemicals,0.00012891705351893607%
"Paints and varnishes, aqueous",82306.0,3209,Chemicals,0.00012389102699433184%
Silicon & rare gases,82104.0,2804,Chemicals,0.0001235869666894591%
Albumins,81473.0,3502,Chemicals,0.00012263715454899034%
Acrylic polymers,73955.0,3906,Chemicals,0.00011132069231120225%
Esters of other inorganic acids of nonmetals,67352.0,2920,Chemicals,0.00010138153293954557%
Plastic builders' ware,64344.0,3925,Chemicals,0.00009685374384520311%
Organic composite solvents and thinners,61059.0,3814,Chemicals,0.00009190900076843618%
Essential oils,60325.0,3301,Chemicals,0.00009080414797746299%
Conveyor belts of vulcanized rubber,57399.0,4010,Chemicals,0.00008639978930391045%
Sulfides of nonmetals,55689.0,2813,Chemicals,0.0000838258134557304%
Hyopchlorites,53393.0,2828,Chemicals,0.00008036976167361263%
Hydraulic fluids,52539.0,3819,Chemicals,0.00007908427899855662%
Serums and vaccines,50318.0,3002,Chemicals,0.0000757411208939906%
"Pigments, nonaqueous",48939.0,3212,Chemicals,0.00007366538247607229%
Casein,48339.0,3501,Chemicals,0.00007276223305565825%
Artificial and prepared waxes,47460.0,3404,Chemicals,0.00007143911915475165%
Titanium oxides,47098.0,2823,Chemicals,0.00007089421900443518%
Sulfonitric acids,46416.0,2808,Chemicals,0.0000698676391632312%
"Sulfonated, nitrated derivatives of hydrocarbons",46379.0,2904,Chemicals,0.00006981194494897233%
Glaziers' putty,45584.0,3214,Chemicals,0.00006861527196692372%
Oxygen-function amino-compounds,45270.0,2922,Chemicals,0.00006814262377024036%
Animal or vegetable fertilizers,44120.0,3101,Chemicals,0.00006641158738111342%
Lubricants,40770.0,3403,Chemicals,0.00006136900311713496%
Antibiotics,38508.0,2941,Chemicals,0.00005796412980217396%
Heterocyclic compounds with nitrogen hetero-atom(s) only,37484.0,2933,Chemicals,0.000056422754791333984%
Ion-exchangers based on polymers,33278.0,3914,Chemicals,0.000050091677354231466%
Turpentines,33145.0,3805,Chemicals,0.000049891479232706355%
Aluminum oxide,32900.0,2818,Chemicals,0.00004952269321937062%
Plastic floor coverings,32436.0,3918,Chemicals,0.00004882425766758374%
Rubber inner tubes,28803.0,4013,Chemicals,0.000043355687926976655%
"Nitrites, nitrates",28143.0,2834,Chemicals,0.00004236222356452119%
Stabilizers for rubber or plastic,26796.0,3812,Chemicals,0.00004033465311569164%
"Baths, sinks etc.",26317.0,3922,Chemicals,0.00003961363882839442%
Photographic plates,26287.0,3701,Chemicals,0.00003956848135737372%
Polymers of vinyl acetate,25945.0,3905,Chemicals,0.00003905368618773771%
Acyclic hydrocarbons,25802.0,2901,Chemicals,0.00003883843557587236%
Other paints and varnishes,24969.0,3210,Chemicals,0.000037584563130530845%
"Chlorides, bromides, iodides etc.",22498.0,2827,Chemicals,0.00003386509276745897%
Polyamides,18994.0,3908,Chemicals,0.000028590700152240898%
Nucleic acids and their salts,16087.0,2934,Chemicals,0.000024214941210334804%
Silicates,16079.0,2839,Chemicals,0.000024202899218062617%
Cyanides,15247.0,2837,Chemicals,0.00002295053202175513%
Vulcanized rubber tubes,13479.0,4009,Chemicals,0.000020289251729601717%
Prepared culture media for micro-organisms,13249.0,3821,Chemicals,0.000019943044451776328%
Phosphates,12264.0,2835,Chemicals,0.00001846037415326326%
Polishes and creams,11247.0,3405,Chemicals,0.000016929535885661438%
Used pneumatic tires of rubber,10673.0,4012,Chemicals,0.000016065522940131993%
Enzymes,10338.0,3507,Chemicals,0.000015561264513734147%
Vulcanized rubber articles of apparel,10098.0,4015,Chemicals,0.000015200004745568525%
Iodine,9327.0,2801,Chemicals,0.000014039457740336466%
Uranium,9236.0,2844,Chemicals,0.000013902480078240333%
Matches,8954.0,3605,Chemicals,0.000013477999850645728%
Silicones in primary forms,8209.0,3910,Chemicals,0.000012356589320298278%
Heparin for therapeutic use,7607.0,3001,Chemicals,0.000011450429401816178%
Coloring matter of animal or vegetable origin,7495.0,3203,Chemicals,0.000011281841510005554%
"Sulfiric acid, oleum",7059.0,2807,Chemicals,0.000010625552931171343%
Finishing agents,5673.0,3809,Chemicals,0.000008539277770014877%
Cellulose n.e.c.,5514.0,3912,Chemicals,0.000008299943173605155%
Dextrins and other modified starches,5116.0,3505,Chemicals,0.000007700854058063831%
Phosphatic fertilizers,5056.0,3103,Chemicals,0.0000076105391160224254%
Carboxylic acids with additional oxygen function,4873.0,2918,Chemicals,0.00000733507854279614%
Amino-resins,3850.0,3909,Chemicals,0.000005795208780990178%
Halogenated derivatives of hydrocarbons,3115.0,2903,Chemicals,0.000004688850740982962%
"Wadding, gauze and bandages",3017.0,3005,Chemicals,0.000004541336335648667%
Chemical preparations for photographic uses,2896.0,3707,Chemicals,0.000004359201202531833%
Candles,2853.0,3406,Chemicals,0.000004294475494068825%
Pickling preparations for metal surfaces,2745.0,3810,Chemicals,0.000004131908598394296%
Hydrochloric acid,2313.0,2806,Chemicals,0.0000034816410156961773%
Unsaturated acyclic monocarboxylic acids,2258.0,2916,Chemicals,0.0000033988523188248888%
Monofilament,2203.0,3916,Chemicals,0.000003316063621953601%
Rosin and resin acids,1819.0,3806,Chemicals,0.0000027380479928886065%
Ketones and quinones,1793.0,2914,Chemicals,0.0000026989115180039973%
Aldehydes,1711.0,2912,Chemicals,0.0000025754810972140767%
Rubber hygenic or pharmeceutical items,1430.0,4014,Chemicals,0.000002152506118653495%
Gelatin,1425.0,3503,Chemicals,0.000002144979873483378%
Saturated acyclic monocarboxylic acids,1148.0,2915,Chemicals,0.0000017280258910588896%
Preparations for fire extinguishers,1004.0,3813,Chemicals,0.0000015112700301595164%
Artificial graphite,904.0,3801,Chemicals,0.0000013607451267571744%
Antifreezing preparation,891.0,3820,Chemicals,0.0000013411768893148698%
Artists' colors,798.0,3213,Chemicals,0.0000012011887291506915%
Compounded rubber,746.0,4005,Chemicals,0.0000011229157793814736%
Sodium chlorate,742.0,2829,Chemicals,0.0000011168947832453798%
Hard rubber,265.0,4017,Chemicals,3.988909940162071e-7%
Cocoa beans,449985813.0,1801,Agriculture,0.6773407103424947%
Other oil seeds,314319758.0,1207,Agriculture,0.4731295121039761%
Cashew nuts & coconuts,215902238.0,0801,Agriculture,0.32498663519299514%
Cigars and cigarettes,114638878.0,2402,Agriculture,0.17256006037102903%
Solid soybean residues,73548123.0,2304,Agriculture,0.11070824109998588%
Spices,51931876.0,0910,Agriculture,0.07817040618402418%
Tanned sheepskins,51025846.0,4105,Agriculture,0.07680660540172793%
Crustaceans,49470186.0,0306,Agriculture,0.07446494968945906%
Tanned skins of other animals,38782005.0,4106,Agriculture,0.05837657556374156%
Wood in the rough,38182880.0,4403,Agriculture,0.05747474323623227%
Cocoa residues,37111245.0,1802,Agriculture,0.055861665687656575%
Cocoa butter,36501367.0,1804,Agriculture,0.05494364741728445%
Sugarcane & sucrose,36280437.0,1701,Agriculture,0.05461109274819764%
Soya beans,32875538.0,1201,Agriculture,0.04948587181750033%
Cut flowers,32316016.0,0603,Agriculture,0.048643651867485475%
Wood charcoal,32018406.0,4402,Agriculture,0.04819567470246977%
Cocoa paste,27270018.0,1803,Agriculture,0.041048168252301356%
Seaweeds & edible vegetable products,23540064.0,1212,Agriculture,0.035433658596849556%
Coconut & palm kernel oil,21928115.0,1513,Agriculture,0.03300727392170453%
Tanned hides of bovines or equines,20832139.0,4104,Agriculture,0.031357557106391674%
"Plants used in perfumery, pharmacy or insecticide",20821353.0,1211,Agriculture,0.0313413214903107%
Cereal residues,17991740.0,2302,Agriculture,0.02708204925540058%
Chocolates,17229837.0,1806,Agriculture,0.02593519550063103%
Other manufactured tobacco,15186612.0,2403,Agriculture,0.022859633043088523%
Wood sawn lengthwise,13314472.0,4407,Agriculture,0.02004159611653191%
Starch residues,11989375.0,2303,Agriculture,0.018046995137294575%
Beer,6633055.0,2203,Agriculture,0.009984399631374236%
Sauces and seasonings,6499503.0,2103,Agriculture,0.009783370612382339%
Soups and broths,6024252.0,2104,Agriculture,0.009067999503713673%
Cardboard packing containers,5522489.0,4819,Agriculture,0.008312721232654979%
"Milk, concentrated",5044558.0,0402,Agriculture,0.007593316056575131%
Other vegetable fats and oils,4794877.0,1515,Agriculture,0.007217483972511128%
Flour of dried legumes,3869655.0,1106,Agriculture,0.0058247944507539085%
Bovine leather further prepared,3721336.0,4107,Agriculture,0.0056015374192765885%
Lac,3539945.0,1301,Agriculture,0.0053284987917460456%
Food preparations n.e.c.,3294474.0,2106,Agriculture,0.004959003806115282%
Fuel wood,3111934.0,4401,Agriculture,0.004684235647444647%
"Waters, flavored or sweetened",3078450.0,2202,Agriculture,0.004633833888789406%
Pasta,2819222.0,1902,Agriculture,0.004243631192197582%
Other nuts,2792858.0,0802,Agriculture,0.004203946806664589%
Coffee extracts,2654890.0,2101,Agriculture,0.003996270607938446%
Prepared aquatic invertibrates,2518759.0,1605,Agriculture,0.0037913595516878024%
Peanuts,2267850.0,1202,Agriculture,0.0034136790218100197%
"Legumes, dried",1915827.0,0713,Agriculture,0.002883796741105992%
Confectionery sugar,1818710.0,1704,Agriculture,0.0027376114706687397%
Other cereals,1672052.0,1008,Agriculture,0.0025168546578369323%
Preserved fish,1667976.0,0305,Agriculture,0.0025107192627742527%
Pepper,1555041.0,0904,Agriculture,0.0023407239631168175%
Tissue,1459642.0,4803,Agriculture,0.002197124710520017%
Malt extract,1309799.0,1901,Agriculture,0.0019715736795148453%
Whalebone & horns,1218366.0,0507,Agriculture,0.0018339442445869816%
Cereal foods,1123880.0,1904,Agriculture,0.0016917192843582446%
"Bones, simply prepared",1103492.0,0506,Agriculture,0.001661030267052575%
Ethyl alcohol > 80%,1085156.0,2207,Agriculture,0.0016334300207647213%
"Fruits and nuts, otherwise prepared",1043021.0,2008,Agriculture,0.0015700063527161446%
"Books, brochures etc.",982163.0,4901,Agriculture,0.0014783999070035472%
Bakery products,909864.0,1905,Agriculture,0.0013695719070926876%
Vegetable products n.e.c.,862716.0,1404,Agriculture,0.0012986024256365514%
Wheat and meslin,811148.0,1001,Agriculture,0.0012209797434500314%
Live Fish,781964.0,0301,Agriculture,0.001177050555641092%
Cereal flours,776494.0,1102,Agriculture,0.0011688168434249838%
Other fermented beverages,716280.0,2206,Agriculture,0.0010781797780902973%
Fermented milk products,688894.0,0403,Agriculture,0.0010369570280445318%
Palm oil,687927.0,1511,Agriculture,0.0010355014522286311%
Chamois leather,667466.0,4108,Agriculture,0.0010047025517434778%
Fruit juices,653380.0,2009,Agriculture,0.000983499613850224%
"Onions, shallots, garlic",637130.0,0703,Agriculture,0.0009590393170473434%
Grain sorghum,606061.0,1007,Agriculture,0.0009122727348092696%
Tubers,590937.0,0714,Agriculture,0.0008895073484186994%
"Other vegetables, prepared or preserved",585419.0,2005,Agriculture,0.0008812013842489582%
Cocoa powder,567145.0,1805,Agriculture,0.0008536944634012142%
Animal products used in pharmaceuticals,509274.0,0510,Agriculture,0.0007665841965532448%
Toilet paper,476663.0,4818,Agriculture,0.0007174965203047068%
Molluscs,461324.0,0307,Agriculture,0.0006944075053718215%
Tapioca,453354.0,1903,Agriculture,0.0006824106705706549%
Vegetable saps and extracts,443434.0,1302,Agriculture,0.0006674786001531426%
Vegetable waxes and beeswax,400874.0,1521,Agriculture,0.0006034152012651057%
Other vegetables,346396.0,0709,Agriculture,0.0005214122443895777%
Stearic acid,346109.0,1519,Agriculture,0.0005209802379168129%
Other paper cut to size,332966.0,4823,Agriculture,0.000501196749862643%
Packing boxes,321493.0,4415,Agriculture,0.0004839270276952923%
Raw skins of sheep or lambs,320583.0,4102,Agriculture,0.000482557251074331%
Animal feed,318842.0,2309,Agriculture,0.00047993661250609617%
Paper used for graphic purposes,306662.0,4802,Agriculture,0.00046160267927169095%
Seeds used for sowing,303109.0,1209,Agriculture,0.0004562545294538057%
Other articles of leather,299570.0,4205,Agriculture,0.00045092745312239686%
Cloves,298382.0,0907,Agriculture,0.00044913921726997695%
Other sugars,283314.0,1702,Agriculture,0.000426458124825312%
Citrus fruit,281195.0,0805,Agriculture,0.0004232685021222164%
Sunflower seeds,254914.0,1206,Agriculture,0.00038370905225904684%
Waters,251983.0,2201,Agriculture,0.00037929716734032417%
Peel of citrus fruit or melons,246505.0,0814,Agriculture,0.00037105141313194387%
Starches,240335.0,1108,Agriculture,0.00036176402659201937%
Flours of oil seeds,203325.0,1208,Agriculture,0.00030605475984281247%
"Fruits, dried",188079.0,0813,Agriculture,0.00028310573307009136%
"Tomatoes, prepared or preserved",182414.0,2002,Agriculture,0.00027457849729234867%
Corn,180324.0,1005,Agriculture,0.0002714325268112397%
Potatoes,178925.0,0701,Agriculture,0.00026932668341264095%
Solid vegetable oil and fat residues,177520.0,2306,Agriculture,0.00026721180851983805%
Other printed matter,174656.0,4911,Agriculture,0.0002629007752863949%
Worked cereal grains,171094.0,1104,Agriculture,0.00025753907822720357%
Potato flour,163247.0,1105,Agriculture,0.0002457273890572217%
Leather apparel,162761.0,4203,Agriculture,0.0002449958380266863%
Fish fillets,150206.0,0304,Agriculture,0.00022609743640452225%
Trunks or cases,140811.0,4202,Agriculture,0.00021195562172987223%
Legumes,125477.0,0708,Agriculture,0.00018887413304215705%
"Vegetables, fruits and nuts, preserved by sugar",123236.0,2006,Agriculture,0.00018550086995691056%
Cereal meals,107926.0,1103,Agriculture,0.00016245550724601195%
Spirits < 80% alcohol,106917.0,2208,Agriculture,0.00016093671097068232%
Tea,104618.0,0902,Agriculture,0.00015747614344146246%
Plywood,103206.0,4412,Agriculture,0.0001553507318054214%
Rice,100710.0,1006,Agriculture,0.00015159363021649894%
Nutmeg,96089.0,0908,Agriculture,0.00014463787443027667%
Products of plaiting materials,89853.0,4601,Agriculture,0.00013525114145410662%
